infection2case,infection2death,infection2hospit,serialinterval
0.1211847824605171,2.101686358970993e-5,0.008982883740417403,0.011378372801765265
0.16509977801740988,9.550573037377249e-5,0.019298693861573103,0.07442687225731218
0.17334599434771653,0.0003082944478486328,0.031952803913402994,0.1594748728160521
0.15492452842341092,0.000792288751894608,0.04503281368112291,0.20100672092243838
0.12393962273872886,0.0017232617402240865,0.05681104867925707,0.1872913440044166
0.09140711815162327,0.0032945284715968615,0.06607183815012896,0.14377062353454917
0.06333415625383504,0.005678997178209233,0.07219183778377937,0.0964728435342207
0.04176285223751818,0.008988390102748524,0.07506785325916901,0.05864991404161579
0.02645128579549499,0.013240413554644314,0.0749763628834722,0.03306322111921689
0.016202466665805906,0.018342065810838117,0.07242232346532104,0.017561007411414642
0.009648536810745548,0.024092581983163087,0.06800901917127324,0.008888298130753092
0.0056086606115598415,0.030204554355239038,0.06234160090700038,0.004323174569452637
0.003192897285939901,0.03633798059413607,0.05596512440678599,0.0020336454166579587
0.001784765114138569,0.04214010285009129,0.04933184183693855,0.0009298057306225127
0.000981715646204163,0.04728392028250161,0.0427903373983535,0.00041482326559294513
0.0005323277454576778,0.051499712239056215,0.03658919351502272,0.0001811614546067819
0.0002849818598549457,0.05459612148315113,0.030889059629074834,7.764744353055963e-5
0.00015081930521547557,0.05646966961118906,0.02577852965388054,3.27325970838066e-5
7.899054611766394e-5,0.05710353520434081,0.021290705831395414,1.3595879354011409e-5
4.098106760323442e-5,0.05655776403690329,0.017418547906118118,5.572739603665333e-6
2.107846622738099e-5,0.054953743502674894,0.014128023926290834,2.2569862941912433e-6
1.0756106522367555e-5,0.052455846070734724,0.011368711514117691,9.042177651075178e-7
5.448872703009631e-6,0.04925279112804487,0.009081896533454176,3.5869181469472267e-7
2.741807890409211e-6,0.04554067279501056,0.007206437857174922,1.4100704215369575e-7
1.3710787682369388e-6,0.04150891544399247,0.005682765901705446,5.4973405827496435e-8
6.816726124758486e-7,0.03732977052549641,0.004455402479209409,2.1268686478670418e-8
3.3709350585061364e-7,0.033151433571233804,0.0034743632170800174,8.170645604543836e-9
1.658600352910037e-7,0.029094472826484287,0.002695754397408372,3.11834214006268e-9
8.122516441163014e-8,0.025251022800664914,0.002081818694638574,1.1828867885199656e-9
3.960266252078211e-8,0.021686088271404922,0.0016006280603445958,4.461639946384821e-10
1.922910122876671e-8,0.018440297517739162,0.0012255718106284977,1.6739420960476536e-10
9.300366308971836e-9,0.015533505724183085,0.0009347458978420555,6.249234463240327e-11
4.481714534745568e-9,0.01296875115661572,0.0007103157432108733,2.3221313760757312e-11
2.15218672600584e-9,0.010736183955235706,0.0005378992448364081,8.591016786851924e-12
1.030122105624901e-9,0.008816702853312751,0.00040599756529821797,3.1652458432063213e-12
4.915247879124153e-10,0.0071851377336908774,0.0003054878085021187,1.1616263506653013e-12
2.3384026731140705e-10,0.00581289990372778,0.0002291825216179978,4.247713292215849e-13
1.1093647001148473e-10,0.004670085552711315,0.0001714550469226277,1.5476508963274682e-13
5.248919221993581e-11,0.003727062037813316,0.0001279262167471738,5.617728504603292e-14
2.477199815608245e-11,0.0029555940207123457,9.520602703102048e-5,2.042810365310288e-14
1.166269859534695e-11,0.002329580373560077,7.068319817224043e-5,7.327471962526033e-15
5.478121975710272e-12,0.0018254766228435943,5.235553161386863e-5,2.6645352591003757e-15
2.567459287432212e-12,0.0014224746473537396,3.86944054135292e-5,8.881784197001252e-16
1.2007603526673037e-12,0.0011025040378338771,2.8537418739624353e-5,3.3306690738754696e-16
5.604399010536435e-13,0.000850110033483479,2.1003957558634024e-5,1.1102230246251565e-16
2.610707888196113e-13,0.000652252788150657,1.5429224632167726e-5,1.1102230246251565e-16
1.2138873767803622e-13,0.0004980629085414914,1.1313004293875295e-5,0.0
5.634062824748361e-14,0.00037857936833657395,8.280088494645079e-6,0.0
2.6104690665146596e-14,0.00028648834947696787,6.04986356190092e-6,0.0
1.207529197951651e-14,0.0002158753900999297,4.413045509364199e-6,0.0
5.576811723739942e-15,0.00016199837839036302,3.2139601252375616e-6,0.0
2.5716336903144775e-15,0.00012108528821548377,2.3371002640406463e-6,0.0
1.1841075544760026e-15,9.015792931234238e-5,1.6969659408601612e-6,0.0
5.444461940169508e-16,6.688119411173591e-5,1.2304123351412485e-6,0.0
2.4998974697360327e-16,4.943614526448197e-5,8.909055067732067e-7,0.0
1.1463398067918212e-16,3.6414642169079706e-5,6.442234899297731e-7,0.0
5.249863156782456e-17,2.673291535301169e-5,4.6524841472621384e-7,0.0
2.401289601046538e-17,1.9561454079629306e-5,3.355793242069527e-7,0.0
1.0970354192428547e-17,1.426868882378561e-5,2.4176033054213634e-7,0.0
5.006025600668233e-18,1.0376161376366617e-5,1.7396873023807543e-7,0.0
