Collection date,delta,n,prop_delta
2020-02-26,0,1,0
2020-02-28,0,1,0
2020-03-01,0,1,0
2020-03-02,0,6,0
2020-03-03,0,6,0
2020-03-04,0,1,0
2020-03-06,0,2,0
2020-03-07,0,4,0
2020-03-08,0,23,0
2020-03-09,0,195,0
2020-03-10,0,64,0
2020-03-11,0,51,0
2020-03-12,0,3,0
2020-03-13,0,4,0
2020-03-14,0,2,0
2020-03-15,0,5,0
2020-03-16,0,105,0
2020-03-17,0,8,0
2020-03-18,0,9,0
2020-03-19,0,14,0
2020-03-20,0,2,0
2020-03-21,0,1,0
2020-03-22,0,5,0
2020-03-23,0,63,0
2020-03-24,0,27,0
2020-03-25,0,38,0
2020-03-26,0,24,0
2020-03-27,0,42,0
2020-03-28,0,37,0
2020-03-29,0,10,0
2020-03-30,0,146,0
2020-03-31,0,11,0
2020-04-01,0,4,0
2020-04-02,0,11,0
2020-04-03,0,7,0
2020-04-04,0,4,0
2020-04-05,0,1,0
2020-04-06,0,52,0
2020-04-08,0,1,0
2020-04-13,0,66,0
2020-04-14,0,16,0
2020-04-15,0,3,0
2020-04-16,0,1,0
2020-04-19,0,1,0
2020-04-20,0,127,0
2020-04-23,0,3,0
2020-04-25,0,2,0
2020-04-26,0,6,0
2020-04-27,0,62,0
2020-04-28,0,6,0
2020-04-29,0,1,0
2020-05-04,0,70,0
2020-05-09,0,1,0
2020-05-11,0,69,0
2020-05-18,0,59,0
2020-05-24,0,1,0
2020-05-25,0,54,0
2020-06-01,0,52,0
2020-06-08,0,84,0
2020-06-14,0,5,0
2020-06-15,0,55,0
2020-06-17,0,3,0
2020-06-18,0,1,0
2020-06-22,0,30,0
2020-06-29,0,23,0
2020-07-06,0,33,0
2020-07-13,0,63,0
2020-07-20,0,67,0
2020-07-27,0,73,0
2020-08-03,0,25,0
2020-08-10,0,358,0
2020-08-13,0,8,0
2020-08-17,0,280,0
2020-08-24,0,251,0
2020-08-26,0,3,0
2020-08-31,0,659,0
2020-09-01,0,1,0
2020-09-07,0,229,0
2020-09-09,0,6,0
2020-09-10,0,3,0
2020-09-14,0,716,0
2020-09-15,0,5,0
2020-09-17,0,1,0
2020-09-21,0,768,0
2020-09-22,0,10,0
2020-09-23,0,2,0
2020-09-24,0,5,0
2020-09-25,0,1,0
2020-09-28,0,389,0
2020-09-29,0,1,0
2020-09-30,0,2,0
2020-10-01,0,3,0
2020-10-02,0,2,0
2020-10-05,0,338,0
2020-10-06,0,1,0
2020-10-07,0,2,0
2020-10-08,0,3,0
2020-10-12,0,929,0
2020-10-13,0,5,0
2020-10-14,0,10,0
2020-10-15,0,10,0
2020-10-16,0,17,0
2020-10-19,0,274,0
2020-10-20,0,5,0
2020-10-21,0,14,0
2020-10-22,0,13,0
2020-10-23,0,4,0
2020-10-26,0,1281,0
2020-10-27,0,7,0
2020-10-28,0,9,0
2020-10-29,0,7,0
2020-10-30,0,5,0
2020-11-02,0,1318,0
2020-11-03,0,19,0
2020-11-04,0,9,0
2020-11-05,0,12,0
2020-11-06,0,15,0
2020-11-07,0,5,0
2020-11-09,0,985,0
2020-11-10,0,33,0
2020-11-13,0,6,0
2020-11-14,0,6,0
2020-11-15,0,2,0
2020-11-16,0,1338,0
2020-11-23,0,1680,0
2020-11-30,0,2160,0
2020-12-05,0,6,0
2020-12-07,0,3161,0
2020-12-14,0,3773,0
2020-12-21,0,2925,0
2020-12-28,0,3211,0
2021-01-04,0,3361,0
2021-01-11,0,3513,0
2021-01-18,0,2990,0
2021-01-25,0,2101,0
2021-02-01,0,1862,0
2021-02-08,0,1682,0
2021-02-15,0,2113,0
2021-02-22,0,2436,0
2021-03-01,0,2482,0
2021-03-08,0,2722,0
2021-03-15,0,3015,0
2021-03-22,0,3399,0
2021-03-29,1,3154,3.170577045022194e-4
2021-04-05,1,2920,3.4246575342465754e-4
2021-04-12,1,3114,3.211303789338471e-4
2021-04-19,5,3090,0.0016181229773462784
2021-04-20,0,1,0
2021-04-21,0,4,0
2021-04-22,0,5,0
2021-04-23,0,8,0
2021-04-26,3,3529,8.50099178237461e-4
2021-05-03,5,4195,0.0011918951132300357
2021-05-10,2,4199,4.763038818766373e-4
2021-05-17,5,4105,0.001218026796589525
2021-05-24,7,4036,0.001734390485629336
2021-05-31,26,3387,0.007676409802184824
2021-06-07,52,1734,0.029988465974625143
2021-06-14,49,907,0.05402425578831312
2021-06-17,0,2,0
2021-06-18,0,1,0
2021-06-19,0,2,0
2021-06-20,7,57,0.12280701754385964
2021-06-21,16,103,0.1553398058252427
2021-06-22,14,88,0.1590909090909091
2021-06-23,20,96,0.20833333333333334
2021-06-24,43,139,0.30935251798561153
2021-06-25,40,125,0.32
2021-06-26,44,106,0.41509433962264153
2021-06-27,55,137,0.40145985401459855
2021-06-28,106,213,0.49765258215962443
2021-06-29,166,275,0.6036363636363636
2021-06-30,213,315,0.6761904761904762
2021-07-01,176,257,0.6848249027237354
2021-07-02,140,196,0.7142857142857143
2021-07-03,168,232,0.7241379310344828
2021-07-04,168,228,0.7368421052631579
2021-07-05,230,276,0.8333333333333334
2021-07-06,280,355,0.7887323943661971
2021-07-07,335,405,0.8271604938271605
2021-07-08,235,280,0.8392857142857143
2021-07-09,297,352,0.84375
2021-07-10,309,342,0.9035087719298246
2021-07-11,545,579,0.9412780656303973
2021-07-12,784,847,0.9256198347107438
2021-07-13,796,824,0.9660194174757282
2021-07-14,731,746,0.9798927613941019
2021-07-15,754,777,0.9703989703989704
2021-07-16,583,602,0.96843853820598
2021-07-17,549,565,0.9716814159292035
2021-07-18,570,578,0.986159169550173
2021-07-19,530,540,0.9814814814814815
2021-07-20,589,595,0.9899159663865547
2021-07-21,585,587,0.9965928449744463
2021-07-22,464,474,0.9789029535864979
2021-07-23,493,498,0.9899598393574297
2021-07-24,492,499,0.9859719438877755
2021-07-25,606,611,0.9918166939443536
2021-07-26,755,758,0.996042216358839
2021-07-27,732,737,0.9932157394843962
2021-07-28,690,692,0.9971098265895953
2021-07-29,571,578,0.9878892733564014
2021-07-30,513,517,0.9922630560928434
2021-07-31,545,547,0.9963436928702011
2021-08-01,292,297,0.9831649831649831
2021-08-02,283,285,0.9929824561403509
